Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","34","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1639","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","46","Congo","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","107","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","134","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","107","Côte d'Ivoire","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","45","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","45","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","49","Cuba","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","326","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","146","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","72","Djibouti","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","55","Dominique","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","59","Égypte","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1554","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","60","El Salvador","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","150","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","225","Émirats arabes unis","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","480","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","58","Équateur","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","340","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1428","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","28","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","209","Eswatini","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","7","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","231","États-Unis d'Amérique","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","18305","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","238","Éthiopie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","72","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","185","Fédération de Russie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","4657","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","66","Fidji","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","24","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","67","Finlande","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","111","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","1563","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","74","Gabon","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","78","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","75","Gambie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","73","Géorgie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","61","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","81","Ghana","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","209","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","84","Grèce","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","178","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","86","Grenade","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","89","Guatemala","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","346","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","90","Guinée","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","25","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","175","Guinée-Bissau","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","4","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","91","Guyana","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","32","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","93","Haïti","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","91","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","95","Honduras","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","204","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","97","Hongrie","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","264","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","25","Îles Salomon","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","100","Inde","5301","Disponibilité intérieure","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2957","S","Données standardisées"
