Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","32","Cameroun","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1511.810233","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","51433.391851","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","15059.531124","Fc","Donnée calculée",""
"MK","Indicateurs macro","351","Chine","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","7389.099404","Fc","Donnée calculée",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","38067.522234","Fc","Donnée calculée",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","55936.511322","Fc","Donnée calculée",""
"MK","Indicateurs macro","41","Chine, continentale","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","7207.358468","Fc","Donnée calculée",""
"MK","Indicateurs macro","50","Chypre","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","30183.266504","Fc","Donnée calculée",""
"MK","Indicateurs macro","44","Colombie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","7600.759","Fc","Donnée calculée",""
"MK","Indicateurs macro","45","Comores","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1559.350032","Fc","Donnée calculée",""
"MK","Indicateurs macro","46","Congo","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2520.154553","Fc","Donnée calculée",""
"MK","Indicateurs macro","48","Costa Rica","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","9791.995668","Fc","Donnée calculée",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1625.49371","Fc","Donnée calculée",""
"MK","Indicateurs macro","98","Croatie","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","15094.641727","Fc","Donnée calculée",""
"MK","Indicateurs macro","49","Cuba","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","6580.294459","Fc","Donnée calculée",""
"MK","Indicateurs macro","279","Curaçao","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","17673.865265","Fc","Donnée calculée",""
"MK","Indicateurs macro","54","Danemark","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","62698.566122","Fc","Donnée calculée",""
"MK","Indicateurs macro","72","Djibouti","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","1648.786318","Fc","Donnée calculée",""
"MK","Indicateurs macro","55","Dominique","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","6208.426391","Fc","Donnée calculée",""
"MK","Indicateurs macro","59","Égypte","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","2731.034652","Fc","Donnée calculée",""
"MK","Indicateurs macro","60","El Salvador","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","3343.64521","Fc","Donnée calculée",""
"MK","Indicateurs macro","225","Émirats arabes unis","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","41197.178798","Fc","Donnée calculée",""
"MK","Indicateurs macro","58","Équateur","6107","Valeur US$, aux prix de 2010","22014","Produit intérieur brut par habitant","2017","2017","","5269.600089","Fc","Donnée calculée",""
